CO_PAIS;id_country
823;TURCAS_E_CAICOS_ILHAS
824;TURCOMENISTAO
827;TURQUIA
828;TUVALU
831;UCRANIA
833;UGANDA
840;UNIAO_DAS_REPUBLICAS_SOCIALISTAS_SOVIETICAS
845;URUGUAI
847;UZBEQUISTAO
551;VANUATU
848;VATICANO
850;VENEZUELA
858;VIETNA
866;VIRGENS_ILHAS_AMERICANAS
863;VIRGENS_ILHAS_BRITANICAS
873;WAKE_ILHA
875;WALLIS_E_FUTUNA_ILHAS
665;ZIMBABUE
895;ZONA_DO_CANAL_DO_PANAMA
890;ZAMBIA
756;AFRICA_DO_SUL
072;AUSTRIA
361;INDIA
