CO_NCM;id_product;flag
3026200;CARNES;1
3026300;CARNES;1
3026400;CARNES;1
3026500;CARNES;1
3026600;CARNES;1
3026700;NOT_AGRO;0
3026800;NOT_AGRO;0
3026810;NOT_AGRO;0
3026820;NOT_AGRO;0
3026910;CARNES;1
3026921;CARNES;1
3026922;CARNES;1
3026923;CARNES;1
3026931;CARNES;1
3026932;CARNES;1
3026933;CARNES;1
3026934;CARNES;1
3026935;CARNES;1
3026941;CARNES;1
3026942;CARNES;1
3026943;CARNES;1
3026944;CARNES;1
3026945;CARNES;1
3026946;CARNES;1
3026947;CARNES;1
3026948;CARNES;1
3026949;CARNES;1
3026951;CARNES;1
3026952;CARNES;1
3026953;CARNES;1
3026954;CARNES;1
3026955;CARNES;1
3026990;CARNES;1
3027000;CARNES;1
3027100;CARNES;1
3027210;CARNES;1
3027290;CARNES;1
3027300;CARNES;1
3027400;CARNES;1
3027900;CARNES;1
3028100;CARNES;1
3028200;CARNES;1
3028310;CARNES;1
3028320;CARNES;1
3028400;CARNES;1
3028500;CARNES;1
3028910;NOT_AGRO;0
3028911;CARNES;1
3028912;CARNES;1
3028921;NOT_AGRO;0
3028922;CARNES;1
3028923;CARNES;1
3028924;CARNES;1
3028931;CARNES;1
3028932;CARNES;1
3028933;CARNES;1
3028934;CARNES;1
3028935;CARNES;1
3028936;CARNES;1
3028937;CARNES;1
3028938;CARNES;1
3028941;CARNES;1
3028942;CARNES;1
3028943;CARNES;1
3028944;CARNES;1
3028945;CARNES;1
3028990;CARNES;1
3029000;CARNES;1
3029100;NOT_AGRO;0
3029200;NOT_AGRO;0
3029900;NOT_AGRO;0
3031000;CARNES;1
3031100;CARNES;1
3031200;CARNES;1
3031300;CARNES;1
3031400;CARNES;1
3031900;CARNES;1
3032100;CARNES;1
3032200;CARNES;1
3032300;CARNES;1
3032410;CARNES;1
3032490;CARNES;1
3032500;CARNES;1
3032600;CARNES;1
3032900;CARNES;1
3033100;CARNES;1
3033200;CARNES;1
3033300;CARNES;1
3033400;CARNES;1
3033900;CARNES;1
3034100;CARNES;1
3034200;CARNES;1
3034300;CARNES;1
3034400;CARNES;1
3034500;CARNES;1
3034600;CARNES;1
3034900;CARNES;1
3035000;CARNES;1
3035100;CARNES;1
3035200;NOT_AGRO;0
3035300;CARNES;1
3035400;CARNES;1
3035500;CARNES;1
3035600;CARNES;1
3035700;CARNES;1
3035910;NOT_AGRO;0
3035920;NOT_AGRO;0
3035990;NOT_AGRO;0
3036000;CARNES;1
3036100;NOT_AGRO;0
3036210;NOT_AGRO;0
3036211;NOT_AGRO;0
3036212;NOT_AGRO;0
3036219;CARNES;1
3036221;NOT_AGRO;0
3036222;NOT_AGRO;0
3036229;NOT_AGRO;0
3036290;NOT_AGRO;0
3036300;CARNES;1
3036400;CARNES;1
3036500;CARNES;1
3036600;CARNES;1
3036700;CARNES;1
3036800;CARNES;1
3036910;CARNES;1
3036990;CARNES;1
3037100;CARNES;1
3037200;CARNES;1
3037300;CARNES;1
3037400;CARNES;1
3037500;CARNES;1
3037511;NOT_AGRO;0
3037512;NOT_AGRO;0
3037513;NOT_AGRO;0
3037514;NOT_AGRO;0
3037519;NOT_AGRO;0
3037590;NOT_AGRO;0
3037600;CARNES;1
3037700;CARNES;1
3037800;CARNES;1
3037910;CARNES;1
3037920;CARNES;1
3037931;CARNES;1
3037932;CARNES;1
3037933;CARNES;1
3037934;CARNES;1
3037941;CARNES;1
3037942;CARNES;1
3037943;CARNES;1
3037944;CARNES;1
3037945;CARNES;1
3037946;CARNES;1
3037947;CARNES;1
3037948;CARNES;1
3037949;CARNES;1
3037951;CARNES;1
3037952;CARNES;1
3037953;CARNES;1
3037954;CARNES;1
3037955;CARNES;1
3037956;CARNES;1
3037957;CARNES;1
3037961;CARNES;1
3037962;CARNES;1
3037963;CARNES;1
3037964;CARNES;1
3037965;CARNES;1
3037990;CARNES;1
3038000;CARNES;1
3038111;CARNES;1
3038112;CARNES;1
3038113;CARNES;1
3038114;CARNES;1
3038119;CARNES;1
3038190;CARNES;1
3038200;CARNES;1
3038311;CARNES;1
3038312;CARNES;1
3038319;NOT_AGRO;0
3038321;CARNES;1
3038322;CARNES;1
3038329;CARNES;1
3038400;CARNES;1
3038910;CARNES;1
3038920;CARNES;1
3038931;CARNES;1
3038932;CARNES;1
3038933;CARNES;1
3038941;CARNES;1
3038942;CARNES;1
3038943;CARNES;1
3038944;CARNES;1
3038945;CARNES;1
3038946;CARNES;1
3038951;CARNES;1
3038952;CARNES;1
3038953;CARNES;1
3038954;CARNES;1
3038955;CARNES;1
3038956;CARNES;1
3038957;CARNES;1
3038961;CARNES;1
3038962;CARNES;1
3038963;CARNES;1
3038964;CARNES;1
3038965;CARNES;1
3038990;CARNES;1
3039000;CARNES;1
3039100;NOT_AGRO;0
3039200;NOT_AGRO;0
3039910;NOT_AGRO;0
3039920;NOT_AGRO;0
3039990;NOT_AGRO;0
3041000;CARNES;1
3041011;CARNES;1
3041012;CARNES;1
3041013;CARNES;1
3041019;CARNES;1
3041090;CARNES;1
3041100;NOT_AGRO;0
3041200;NOT_AGRO;0
3041911;NOT_AGRO;0
3041912;NOT_AGRO;0
3041913;NOT_AGRO;0
3041919;NOT_AGRO;0
3041990;NOT_AGRO;0
3042010;CARNES;1
3042020;CARNES;1
3042030;CARNES;1
3042040;CARNES;1
3042050;CARNES;1
3042060;CARNES;1
3042070;CARNES;1
3042090;CARNES;1
3042100;NOT_AGRO;0
3042210;NOT_AGRO;0
3042290;NOT_AGRO;0
3042910;NOT_AGRO;0
3042920;NOT_AGRO;0
3042930;NOT_AGRO;0
3042940;NOT_AGRO;0
3042950;NOT_AGRO;0
3042960;NOT_AGRO;0
3042970;NOT_AGRO;0
3042990;NOT_AGRO;0
3043100;CARNES;1
3043210;CARNES;1
3043290;CARNES;1
3043300;CARNES;1
3043900;CARNES;1
3044100;CARNES;1
3044200;CARNES;1
3044300;CARNES;1
3044400;CARNES;1
3044500;CARNES;1
3044600;CARNES;1
3044700;NOT_AGRO;0
3044800;NOT_AGRO;0
3044910;CARNES;1
3044920;CARNES;1
3044990;CARNES;1
3045100;CARNES;1
3045200;CARNES;1
3045300;CARNES;1
3045400;CARNES;1
3045500;CARNES;1
3045600;NOT_AGRO;0
3045700;NOT_AGRO;0
3045900;CARNES;1
3046100;CARNES;1
3046210;CARNES;1
3046290;CARNES;1
3046300;CARNES;1
3046900;CARNES;1
3047100;CARNES;1
3047200;CARNES;1
3047300;CARNES;1
3047400;CARNES;1
3047500;CARNES;1
3047900;CARNES;1
3048100;CARNES;1
3048200;CARNES;1
3048300;CARNES;1
3048400;CARNES;1
3048510;CARNES;1
3048520;CARNES;1
3048600;CARNES;1
3048700;CARNES;1
3048810;NOT_AGRO;0
3048890;NOT_AGRO;0
3048910;CARNES;1
3048920;CARNES;1
3048930;CARNES;1
3048940;CARNES;1
3048990;CARNES;1
3049000;CARNES;1
3049100;CARNES;1
3049200;NOT_AGRO;0
3049211;CARNES;1
3049212;CARNES;1
3049219;CARNES;1
3049221;CARNES;1
3049222;CARNES;1
3049229;CARNES;1
3049300;CARNES;1
3049400;CARNES;1
3049500;CARNES;1
3049600;NOT_AGRO;0
3049700;NOT_AGRO;0
3049900;CARNES;1
3051000;CARNES;1
3052000;CARNES;1
3053000;CARNES;1
3053010;NOT_AGRO;0
3053020;NOT_AGRO;0
3053090;NOT_AGRO;0
3053100;CARNES;1
3053210;CARNES;1
3053220;CARNES;1
3053230;NOT_AGRO;0
3053290;CARNES;1
3053900;NOT_AGRO;0
3053910;CARNES;1
3053990;CARNES;1
3054100;CARNES;1
3054200;CARNES;1
3054300;CARNES;1
3054400;CARNES;1
3054910;CARNES;1
3054920;CARNES;1
3054990;CARNES;1
3055100;CARNES;1
3055200;NOT_AGRO;0
3055310;NOT_AGRO;0
3055390;NOT_AGRO;0
3055400;NOT_AGRO;0
3055900;NOT_AGRO;0
3055910;CARNES;1
3055920;CARNES;1
3055990;CARNES;1
3056100;CARNES;1
3056200;CARNES;1
3056300;CARNES;1
3056400;CARNES;1
3056900;CARNES;1
3056910;CARNES;1
3056990;CARNES;1
3057100;CARNES;1
3057200;CARNES;1
3057900;CARNES;1
3061100;CARNES;1
3061110;CARNES;1
3061190;CARNES;1
3061200;CARNES;1
3061300;CARNES;1
3061310;CARNES;1
3061391;CARNES;1
3061399;CARNES;1
3061400;CARNES;1
3061500;CARNES;1
3061610;CARNES;1
3061690;CARNES;1
3061710;CARNES;1
3061790;CARNES;1
3061900;CARNES;1
3061910;CARNES;1
3061990;CARNES;1
3062100;CARNES;1
3062200;CARNES;1
3062300;CARNES;1
3062400;CARNES;1
3062500;CARNES;1
3062600;CARNES;1
3062700;CARNES;1
3062900;CARNES;1
3062910;CARNES;1
3062990;CARNES;1
3063100;NOT_AGRO;0
3063200;NOT_AGRO;0
3063300;NOT_AGRO;0
3063400;NOT_AGRO;0
3063500;NOT_AGRO;0
3063600;NOT_AGRO;0
3063910;NOT_AGRO;0
3063990;NOT_AGRO;0
3069100;NOT_AGRO;0
3069200;NOT_AGRO;0
3069300;NOT_AGRO;0
3069400;NOT_AGRO;0
3069500;NOT_AGRO;0
3069910;NOT_AGRO;0
3069990;NOT_AGRO;0
3071000;CARNES;1
3071100;CARNES;1
3071200;NOT_AGRO;0
3071900;CARNES;1
3072100;CARNES;1
3072200;NOT_AGRO;0
3072900;CARNES;1
3073100;CARNES;1
3073200;NOT_AGRO;0
3073900;CARNES;1
3074100;CARNES;1
3074200;NOT_AGRO;0
3074310;NOT_AGRO;0
3074320;NOT_AGRO;0
3074900;NOT_AGRO;0
3074911;CARNES;1
3074919;CARNES;1
3074920;CARNES;1
3074990;CARNES;1
3075100;CARNES;1
3075200;NOT_AGRO;0
3075900;NOT_AGRO;0
3075910;CARNES;1
3075920;CARNES;1
3075990;CARNES;1
3076000;CARNES;1
3077100;CARNES;1
3077200;NOT_AGRO;0
3077900;CARNES;1
3078100;CARNES;1
3078200;NOT_AGRO;0
3078300;NOT_AGRO;0
3078400;NOT_AGRO;0
3078700;NOT_AGRO;0
3078800;NOT_AGRO;0
3078900;CARNES;1
3079100;CARNES;1
3079200;NOT_AGRO;0
3079900;CARNES;1
3081100;CARNES;1
3081200;NOT_AGRO;0
3081900;CARNES;1
3082100;CARNES;1
3082200;NOT_AGRO;0
3082900;CARNES;1
3083000;CARNES;1
3089000;CARNES;1
3091000;NOT_AGRO;0
3099000;NOT_AGRO;0
4011010;LACTEOS;1
4011090;LACTEOS;1
4012010;LACTEOS;1
4012090;LACTEOS;1
4013010;LACTEOS;1
4013021;LACTEOS;1
4013029;LACTEOS;1
4014010;LACTEOS;1
4014021;LACTEOS;1
4014029;LACTEOS;1
4015010;LACTEOS;1
4015021;LACTEOS;1
4015029;LACTEOS;1
4021010;LACTEOS;1
4021090;LACTEOS;1
4022110;LACTEOS;1
4022120;LACTEOS;1
4022130;LACTEOS;1
4022910;LACTEOS;1
4022920;LACTEOS;1
4022930;LACTEOS;1
4029100;LACTEOS;1
4029900;LACTEOS;1
4031000;LACTEOS;1
4032000;NOT_AGRO;0
4039000;LACTEOS;1
4041000;LACTEOS;1
4049000;LACTEOS;1
4051000;LACTEOS;1
4052000;LACTEOS;1
4059010;LACTEOS;1
4059090;LACTEOS;1
4061010;LACTEOS;1
4061090;LACTEOS;1
4062000;LACTEOS;1
4063000;LACTEOS;1
4064000;LACTEOS;1
4069010;LACTEOS;1
4069020;LACTEOS;1
4069030;LACTEOS;1
4069090;LACTEOS;1
4070011;OVOS;1
4070019;OVOS;1
4070090;OVOS;1
4071100;OVOS;1
4071900;OVOS;1
4072100;OVOS;1
4072900;OVOS;1
4079000;OVOS;1
4081100;OVOS;1
4081900;OVOS;1
4089100;OVOS;1
4089900;OVOS;1
4090000;MEL;1
4100000;CARNES;1
4101000;NOT_AGRO;0
4109000;NOT_AGRO;0
5010000;CABELOS;1
5021011;PELOS_CERDAS_CRINAS;1
5021019;PELOS_CERDAS_CRINAS;1
5021090;PELOS_CERDAS_CRINAS;1
5029010;PELOS_CERDAS_CRINAS;1
5029020;PELOS_CERDAS_CRINAS;1
5030000;PELOS_CERDAS_CRINAS;1
5040011;TRIPAS_ANIMAIS;1
5040012;TRIPAS_ANIMAIS;1
5040013;TRIPAS_ANIMAIS;1
5040019;TRIPAS_ANIMAIS;1
5040090;TRIPAS_ANIMAIS;1
5051000;PENAS;1
5059000;PENAS;1
5061000;OSSOS;1
5069000;OSSOS;1
5071000;MARFIM;1
5079000;CARAPACAS_DE_TARTARUGAS_CHIFRES_GALHADAS_CASCOS_ETC;1
5080000;CORAIS;1
5090000;ESPONJAS_ANIMAIS;1
5100010;ORGAOS_ANIMAIS_PARA_PRODUTOS_FARMACEUTICOS;1
5100090;ORGAOS_ANIMAIS_PARA_PRODUTOS_FARMACEUTICOS;1
5111000;SEMEN;1
5119110;OVAS;1
5119190;OUTROS_PRODUTOS_DE_PEIXES_ETC_IMPROPRIOS_PARA_ALIMENTACAO_HUMANA;1
5119910;EMBRIOES;1
5119920;SEMEN;1
5119930;BICHO_DA_SEDA;1
5119990;OUTROS_PRODUTOS_DE_ANIMAIS_IMPROPRIOS_PARA_ALIMENTACAO_HUMANA;1
5119991;PELOS_CERDAS_CRINAS;1
5119999;OUTROS_PRODUTOS_DE_ORIGEM_ANIMAL_IMPROPRIOS_PARA_ALIMENTACAO_HUMANA;1
6011000;BULBOS_E_TUBERCULOS;1
6012000;MUDAS;1
6021000;ENXERTOS;1
6022000;ARVORES;1
6023000;FLORES;1
6024000;FLORES;1
6029010;MUDAS;1
6029021;MUDAS;1
6029029;MUDAS;1
6029081;MUDAS;1
6029082;MUDAS;1
6029083;MUDAS;1
6029089;MUDAS;1
6029090;MUDAS;1
6031000;FLORES;1
6031100;FLORES;1
6031200;FLORES;1
6031300;FLORES;1
6031400;FLORES;1
6031500;FLORES;1
6031900;FLORES;1
6039000;FLORES;1
6041000;FLORES;1
6042000;FLORES;1
6049000;FLORES;1
6049100;FLORES;1
6049900;FLORES;1
7011000;HF_LEGUMES_TEMPEROS;1
7019000;HF_LEGUMES_TEMPEROS;1
7020000;HF_LEGUMES_TEMPEROS;1
7031011;HF_LEGUMES_TEMPEROS;1
7031019;HF_LEGUMES_TEMPEROS;1
7031021;HF_LEGUMES_TEMPEROS;1
7031029;HF_LEGUMES_TEMPEROS;1
7032010;HF_LEGUMES_TEMPEROS;1
7032090;HF_LEGUMES_TEMPEROS;1
7039010;HF_LEGUMES_TEMPEROS;1
7039090;HF_LEGUMES_TEMPEROS;1
7041000;HF_LEGUMES_TEMPEROS;1
7042000;HF_LEGUMES_TEMPEROS;1
7049000;HF_LEGUMES_TEMPEROS;1
7051100;HF_LEGUMES_TEMPEROS;1
7051900;HF_LEGUMES_TEMPEROS;1
7052100;HF_LEGUMES_TEMPEROS;1
7052900;HF_LEGUMES_TEMPEROS;1
7061000;HF_LEGUMES_TEMPEROS;1
7069000;HF_LEGUMES_TEMPEROS;1
7070000;HF_LEGUMES_TEMPEROS;1
7081000;HF_LEGUMES_TEMPEROS;1
7082000;HF_LEGUMES_TEMPEROS;1
7089000;HF_LEGUMES_TEMPEROS;1
7091000;HF_LEGUMES_TEMPEROS;1
7092000;HF_LEGUMES_TEMPEROS;1
7093000;HF_LEGUMES_TEMPEROS;1
7094000;HF_LEGUMES_TEMPEROS;1
7095100;HF_LEGUMES_TEMPEROS;1
7095200;HF_LEGUMES_TEMPEROS;1
7095900;HF_LEGUMES_TEMPEROS;1
7096000;HF_LEGUMES_TEMPEROS;1
7097000;HF_LEGUMES_TEMPEROS;1
7099000;HF_LEGUMES_TEMPEROS;1
7099011;HF_LEGUMES_TEMPEROS;1
7099019;HF_LEGUMES_TEMPEROS;1
7099020;NOT_AGRO;0
7099090;HF_LEGUMES_TEMPEROS;1
7099100;HF_LEGUMES_TEMPEROS;1
7099200;HF_LEGUMES_TEMPEROS;1
7099300;HF_LEGUMES_TEMPEROS;1
7099911;HF_LEGUMES_TEMPEROS;1
7099919;HF_LEGUMES_TEMPEROS;1
7099990;HF_LEGUMES_TEMPEROS;1
7101000;HF_LEGUMES_TEMPEROS;1
7102100;HF_LEGUMES_TEMPEROS;1
7102200;HF_LEGUMES_TEMPEROS;1
7102900;HF_LEGUMES_TEMPEROS;1
7103000;HF_LEGUMES_TEMPEROS;1
7104000;HF_LEGUMES_TEMPEROS;1
7108000;HF_LEGUMES_TEMPEROS;1
7109000;HF_LEGUMES_TEMPEROS;1
7111000;HF_LEGUMES_TEMPEROS;1
7112010;HF_LEGUMES_TEMPEROS;1
7112020;HF_LEGUMES_TEMPEROS;1
7112090;HF_LEGUMES_TEMPEROS;1
7113010;HF_LEGUMES_TEMPEROS;1
7113090;HF_LEGUMES_TEMPEROS;1
7114000;HF_LEGUMES_TEMPEROS;1
7115100;HF_LEGUMES_TEMPEROS;1
7115900;HF_LEGUMES_TEMPEROS;1
7119000;HF_LEGUMES_TEMPEROS;1
7122000;HF_LEGUMES_TEMPEROS;1
7123000;HF_LEGUMES_TEMPEROS;1
7123100;HF_LEGUMES_TEMPEROS;1
7123200;HF_LEGUMES_TEMPEROS;1
7123300;HF_LEGUMES_TEMPEROS;1
7123400;NOT_AGRO;0
7123900;HF_LEGUMES_TEMPEROS;1
7129010;HF_LEGUMES_TEMPEROS;1
7129090;HF_LEGUMES_TEMPEROS;1
7131010;HF_LEGUMES_TEMPEROS;1
7131090;HF_LEGUMES_TEMPEROS;1
7132010;HF_LEGUMES_TEMPEROS;1
7132090;HF_LEGUMES_TEMPEROS;1
7133110;HF_LEGUMES_TEMPEROS;1
7133190;HF_LEGUMES_TEMPEROS;1
7133210;HF_LEGUMES_TEMPEROS;1
7133290;HF_LEGUMES_TEMPEROS;1
7133311;HF_LEGUMES_TEMPEROS;1
7133319;HF_LEGUMES_TEMPEROS;1
7133321;HF_LEGUMES_TEMPEROS;1
7133329;HF_LEGUMES_TEMPEROS;1
7133391;HF_LEGUMES_TEMPEROS;1
7133399;HF_LEGUMES_TEMPEROS;1
7133410;HF_LEGUMES_TEMPEROS;1
7133490;HF_LEGUMES_TEMPEROS;1
7133510;HF_LEGUMES_TEMPEROS;1
7133590;HF_LEGUMES_TEMPEROS;1
7133910;HF_LEGUMES_TEMPEROS;1
7133990;HF_LEGUMES_TEMPEROS;1
7134010;HF_LEGUMES_TEMPEROS;1
7134090;HF_LEGUMES_TEMPEROS;1
7135010;HF_LEGUMES_TEMPEROS;1
7135090;HF_LEGUMES_TEMPEROS;1
7136010;HF_LEGUMES_TEMPEROS;1
7136090;HF_LEGUMES_TEMPEROS;1
7139010;HF_LEGUMES_TEMPEROS;1
7139090;HF_LEGUMES_TEMPEROS;1
7141000;HF_LEGUMES_TEMPEROS;1
7142000;HF_LEGUMES_TEMPEROS;1
7143000;HF_LEGUMES_TEMPEROS;1
7144000;HF_LEGUMES_TEMPEROS;1
7145000;HF_LEGUMES_TEMPEROS;1
7149000;HF_LEGUMES_TEMPEROS;1
8011100;NOT_AGRO;0
8011110;COCO;1
8011190;COCO;1
8011200;COCO;1
8011900;COCO;1
8012100;CASTANHAS_NOZES;1
8012200;CASTANHAS_NOZES;1
8013100;CASTANHAS_NOZES;1
8013200;CASTANHAS_NOZES;1
8021100;CASTANHAS_NOZES;1
8021200;CASTANHAS_NOZES;1
8022100;CASTANHAS_NOZES;1
8022200;CASTANHAS_NOZES;1
8023100;CASTANHAS_NOZES;1
8023200;CASTANHAS_NOZES;1
8024000;CASTANHAS_NOZES;1
8024100;CASTANHAS_NOZES;1
8024200;CASTANHAS_NOZES;1
8025000;CASTANHAS_NOZES;1
8025100;CASTANHAS_NOZES;1
8025200;CASTANHAS_NOZES;1
8026000;NOT_AGRO;0
8026100;CASTANHAS_NOZES;1
8026200;CASTANHAS_NOZES;1
8027000;CASTANHAS_NOZES;1
8028000;CASTANHAS_NOZES;1
8029000;CASTANHAS_NOZES;1
8029100;NOT_AGRO;0
8029200;NOT_AGRO;0
8029900;NOT_AGRO;0
8030000;FRUTAS;1
8031000;FRUTAS;1
8039000;FRUTAS;1
8041010;FRUTAS;1
8041020;FRUTAS;1
8042010;FRUTAS;1
8042020;FRUTAS;1
8043000;FRUTAS;1
8044000;FRUTAS;1
8045000;FRUTAS;1
8045010;FRUTAS;1
8045020;FRUTAS;1
8045030;FRUTAS;1
8051000;FRUTAS;1
8052000;FRUTAS;1
8052100;NOT_AGRO;0
8052200;NOT_AGRO;0
8052900;NOT_AGRO;0
8053000;FRUTAS;1
8054000;FRUTAS;1
8055000;FRUTAS;1
8059000;FRUTAS;1
8061000;FRUTAS;1
8062000;FRUTAS;1
8071100;FRUTAS;1
8071900;FRUTAS;1
8072000;FRUTAS;1
8081000;FRUTAS;1
8082010;FRUTAS;1
8082020;FRUTAS;1
8083000;FRUTAS;1
8084000;FRUTAS;1
8091000;FRUTAS;1
8092000;FRUTAS;1
8092100;FRUTAS;1
8092900;FRUTAS;1
8093010;FRUTAS;1
8093020;FRUTAS;1
8094000;FRUTAS;1
8101000;FRUTAS;1
8102000;FRUTAS;1
8103000;FRUTAS;1
8104000;FRUTAS;1
8105000;FRUTAS;1
8106000;FRUTAS;1
8107000;FRUTAS;1
8109000;FRUTAS;1
8109011;NOT_AGRO;0
8109012;NOT_AGRO;0
8109013;NOT_AGRO;0
8109014;NOT_AGRO;0
8109015;NOT_AGRO;0
